cleaned_method,target_block,tokens_in_method
"def mergestore(self, inputstore, templatetext, includefuzzy): <TAB> """"""converts a file to txt format"""""" <TAB> txtresult = templatetext <TAB> # TODO: make a list of blocks of text and translate them individually <TAB> # rather than using replace <TAB> for unit in inputstore.units: <TAB>  <TAB> if unit.isheader(): <TAB>  <TAB>  <TAB> continue <MASK> txtsource = unit.source <TAB>  <TAB>  <TAB> txttarget = self.wrapmessage(unit.target) <TAB>  <TAB>  <TAB> if unit.istranslated(): <TAB>  <TAB>  <TAB>  <TAB> txtresult = txtresult.replace(txtsource, txttarget) <TAB> return txtresult",if not unit . isfuzzy ( ) or includefuzzy :,160
"def search(document, search): <TAB> """"""Search a document for a regex, return success / fail result"""""" <TAB> result = False <TAB> searchre = re.compile(search) <TAB> for element in document.iter(): <MASK> # t (text) elements <TAB>  <TAB>  <TAB> if element.text: <TAB>  <TAB>  <TAB>  <TAB> if searchre.search(element.text): <TAB>  <TAB>  <TAB>  <TAB>  <TAB> result = True <TAB> return result","if element . tag == ""{%s}t"" % nsprefixes [ ""w"" ] :",112
"def isValid(self): <TAB> if self[""nb_color""].value == 0: <TAB>  <TAB> if self[""bpp""].value in (8, 24, 32) and self[""planes""].value == 1: <TAB>  <TAB>  <TAB> return True <TAB>  <TAB> if self[""planes""].value == 4 and self[""bpp""].value == 0: <TAB>  <TAB>  <TAB> return True <TAB> elif self[""nb_color""].value == 16: <MASK> return True <TAB> else: <TAB>  <TAB> return False <TAB> if self[""bpp""].value == 0 and self[""planes""].value == 0: <TAB>  <TAB> return True <TAB> return False","if self [ ""bpp"" ] . value in ( 4 , 16 ) and self [ ""planes"" ] . value == 1 :",162
"def handle(self, *args, **options): <TAB> reverse = options.get(""reverse"", False) <TAB> dry_run = options.get(""dry_run"", False) <TAB> if not dry_run: <TAB>  <TAB> script_utils.add_file_logger(logger, __file__) <TAB> with transaction.atomic(): <MASK> unset_date_retracted() <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> set_date_retracted() <TAB>  <TAB> if dry_run: <TAB>  <TAB>  <TAB> raise RuntimeError(""Dry run, transaction rolled back."")",if reverse :,129
"def resolve(self, path): <TAB> match = self.regex.search(path) <TAB> if match: <TAB>  <TAB> # If there are any named groups, use those as kwargs, ignoring <TAB>  <TAB> # non-named groups. Otherwise, pass all non-named arguments as <TAB>  <TAB> # positional arguments. <TAB>  <TAB> kwargs = match.groupdict() <MASK> args = () <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> args = match.groups() <TAB>  <TAB> # In both cases, pass any extra_kwargs as **kwargs. <TAB>  <TAB> kwargs.update(self.default_args) <TAB>  <TAB> return self.callback, args, kwargs",if kwargs :,145
"def annotations_to_instance_types(self, node, annots): <TAB> """"""Get instance types for annotations not present in the members map."""""" <TAB> if annots: <TAB>  <TAB> for name, typ in annots.get_annotations(node): <TAB>  <TAB>  <TAB> contained_type = abstract_utils.match_type_container(typ, ""typing.ClassVar"") <MASK> typ = contained_type <TAB>  <TAB>  <TAB> yield name, typ.get_instance_type(node)",if contained_type :,116
"def get_device_codename(): <TAB> """"""Return the device codename."""""" <TAB> serial = environment.get_value(""ANDROID_SERIAL"") <TAB> devices_output = adb.run_command([""devices"", ""-l""]) <TAB> serial_pattern = r""(^|\s){serial}\s"".format(serial=re.escape(serial)) <TAB> serial_regex = re.compile(serial_pattern) <TAB> for line in devices_output.splitlines(): <TAB>  <TAB> values = line.strip().split() <TAB>  <TAB> if not serial_regex.search(line): <TAB>  <TAB>  <TAB> continue <TAB>  <TAB> for value in values: <MASK> continue <TAB>  <TAB>  <TAB> device_codename = value.split("":"")[-1] <TAB>  <TAB>  <TAB> if device_codename: <TAB>  <TAB>  <TAB>  <TAB> return device_codename <TAB> # Unable to get code name. <TAB> return """"","if not value . startswith ( ""device:"" ) :",198
"def active_scalars(self) -> Optional[pyvista_ndarray]: <TAB> """"""Return the active scalars as an array."""""" <TAB> field, name = self.active_scalars_info <TAB> try: <TAB>  <TAB> if field == FieldAssociation.POINT: <TAB>  <TAB>  <TAB> return self.point_arrays[name] <MASK> return self.cell_arrays[name] <TAB> except KeyError: <TAB>  <TAB> return None <TAB> return None",if field == FieldAssociation . CELL :,108
"def _progress_alive(self): <TAB> c = self._progressbar <TAB> if not self._downloading: <TAB>  <TAB> c.itemconfig(""gradient"", state=""hidden"") <TAB> else: <TAB>  <TAB> c.itemconfig(""gradient"", state=""normal"") <TAB>  <TAB> x1, y1, x2, y2 = c.bbox(""gradient"") <MASK> c.move(""gradient"", (self._gradient_width * 6) - 4, 0) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> c.move(""gradient"", -4, 0) <TAB>  <TAB> afterid = self.top.after(200, self._progress_alive) <TAB>  <TAB> self._afterid[""_progress_alive""] = afterid",if x1 <= - 100 :,161
"def set_total_incoming_outgoing_value(self): <TAB> self.total_incoming_value = self.total_outgoing_value = 0.0 <TAB> for d in self.get(""items""): <TAB>  <TAB> if d.t_warehouse: <TAB>  <TAB>  <TAB> self.total_incoming_value += flt(d.amount) <MASK> self.total_outgoing_value += flt(d.amount) <TAB> self.value_difference = self.total_incoming_value - self.total_outgoing_value",if d . s_warehouse :,127
"def get_component_output_data_schema(output_table_meta, have_data_label, is_str=False): <TAB> # get schema <TAB> schema = output_table_meta.get_schema() <TAB> if not schema: <TAB>  <TAB> return [""sid""] <TAB> header = [schema.get(""sid_name"", ""sid"")] <TAB> if have_data_label: <TAB>  <TAB> header.append(schema.get(""label_name"")) <TAB> if is_str: <TAB>  <TAB> if not schema.get(""header""): <MASK> return [schema.get(""sid"")] <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> return None <TAB>  <TAB> header.extend([feature for feature in schema.get(""header"").split("","")]) <TAB> else: <TAB>  <TAB> header.extend(schema.get(""header"", [])) <TAB> return header","if schema . get ( ""sid"" ) :",199
"def _generator(): <TAB> for line in text.splitlines(True):  # True keeps trailing linebreaks <TAB>  <TAB> max_width = min((line.endswith(""\n"") and width + 1 or width), width) <TAB>  <TAB> while len(line) > max_width: <TAB>  <TAB>  <TAB> space = line[: max_width + 1].rfind("" "") + 1 <TAB>  <TAB>  <TAB> if space == 0: <TAB>  <TAB>  <TAB>  <TAB> space = line.find("" "") + 1 <TAB>  <TAB>  <TAB>  <TAB> if space == 0: <TAB>  <TAB>  <TAB>  <TAB>  <TAB> yield line <TAB>  <TAB>  <TAB>  <TAB>  <TAB> line = """" <TAB>  <TAB>  <TAB>  <TAB>  <TAB> break <TAB>  <TAB>  <TAB> yield ""%s\n"" % line[: space - 1] <TAB>  <TAB>  <TAB> line = line[space:] <TAB>  <TAB>  <TAB> max_width = min((line.endswith(""\n"") and width + 1 or width), width) <MASK> yield line",if line :,199
"def env(ctx, key): <TAB> """"""Print information about the Rasterio environment."""""" <TAB> with ctx.obj[""env""] as env: <TAB>  <TAB> if key == ""formats"": <TAB>  <TAB>  <TAB> for k, v in sorted(env.drivers().items()): <TAB>  <TAB>  <TAB>  <TAB> click.echo(""{0}: {1}"".format(k, v)) <MASK> click.echo(json.dumps(env.session.credentials)) <TAB>  <TAB> elif key == ""gdal_data"": <TAB>  <TAB>  <TAB> click.echo(os.environ.get(""GDAL_DATA"") or GDALDataFinder().search()) <TAB>  <TAB> elif key == ""proj_data"": <TAB>  <TAB>  <TAB> click.echo(os.environ.get(""PROJ_LIB"") or PROJDataFinder().search())","elif key == ""credentials"" :",183
"def parse(cls, mount_dict, normalize=False, win_host=False): <TAB> if mount_dict.get(""source""): <MASK> raise ConfigurationError(""tmpfs mounts can not specify a source"") <TAB>  <TAB> mount_dict[""source""] = normpath(mount_dict[""source""], win_host) <TAB>  <TAB> if normalize: <TAB>  <TAB>  <TAB> mount_dict[""source""] = normalize_path_for_engine(mount_dict[""source""]) <TAB> return cls(**mount_dict)","if mount_dict [ ""type"" ] == ""tmpfs"" :",125
"def _diff_dict(orig, new): <TAB> """"""Diff a nested dictionary, returning only key/values that differ."""""" <TAB> final = {} <TAB> for k, v in new.items(): <TAB>  <TAB> if isinstance(v, dict): <TAB>  <TAB>  <TAB> v = _diff_dict(orig.get(k, {}), v) <MASK> final[k] = v <TAB>  <TAB> elif v != orig.get(k): <TAB>  <TAB>  <TAB> final[k] = v <TAB> for k, v in orig.items(): <TAB>  <TAB> if k not in new: <TAB>  <TAB>  <TAB> final[k] = None <TAB> return final",if len ( v ) > 0 :,152
"def before_request(self): <TAB> uri = self.args.uri <TAB> try: <TAB>  <TAB> lineno = int(uri) <TAB> except ValueError: <TAB>  <TAB> pass <TAB> else: <TAB>  <TAB> with open(OUTPUT_CACHE_FILEPATH) as f: <TAB>  <TAB>  <TAB> i = 0 <TAB>  <TAB>  <TAB> for line in f: <MASK> uri = line.split(""#"")[0].strip() <TAB>  <TAB>  <TAB>  <TAB>  <TAB> break <TAB>  <TAB>  <TAB>  <TAB> i += 1 <TAB> self._req.cmd_args = (uri,)",if i == lineno :,129
"def popevent(self, name=None): <TAB> while 1: <MASK> data = self.events.get(timeout=WAIT_TIMEOUT) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> data = self.slp.channel.receive(timeout=WAIT_TIMEOUT) <TAB>  <TAB> ev = EventCall(data) <TAB>  <TAB> if name is None or ev.name == name: <TAB>  <TAB>  <TAB> return ev <TAB>  <TAB> print(""skipping {}"".format(ev))",if self . use_callback :,112
"def forward(self, input_feed, hidden): <TAB> h_1 = [] <TAB> for i, layer in enumerate(self.layers): <TAB>  <TAB> h_1_i = layer(input_feed, hidden[0][i]) <TAB>  <TAB> input_feed = h_1_i <MASK> input_feed = self.dropout(input_feed) <TAB>  <TAB> h_1 += [h_1_i] <TAB> h_1 = torch.stack(h_1) <TAB> return input_feed, (h_1,)",if i + 1 != self . num_layers :,135
"def run_async__await__(coro): <TAB> assert coro.__class__ is types.CoroutineType <TAB> aw = coro.__await__() <TAB> buffer = [] <TAB> result = None <TAB> i = 0 <TAB> while True: <TAB>  <TAB> try: <MASK> buffer.append(next(aw)) <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> buffer.append(aw.send(None)) <TAB>  <TAB>  <TAB> i += 1 <TAB>  <TAB> except StopIteration as ex: <TAB>  <TAB>  <TAB> result = ex.args[0] if ex.args else None <TAB>  <TAB>  <TAB> break <TAB> return buffer, result",if i % 2 :,142
"def check_runAsUser(spec): <TAB> if ""securityContext"" in spec: <MASK> if spec[""securityContext""][""runAsUser""] >= 10000: <TAB>  <TAB>  <TAB>  <TAB> return ""PASSED"" <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> return ""FAILED"" <TAB> return ""ABSENT""","if ""runAsUser"" in spec [ ""securityContext"" ] :",82
"def __init__( <TAB> self, varname, force_categorical=False, contrast=None, levels=None, origin=None): <TAB> self._varname = varname <TAB> self._force_categorical = force_categorical <TAB> self._contrast = contrast <TAB> self._levels = levels <TAB> self.origin = origin <TAB> if not self._force_categorical: <MASK> raise ValueError(""contrast= requires force_categorical=True"") <TAB>  <TAB> if levels is not None: <TAB>  <TAB>  <TAB> raise ValueError(""levels= requires force_categorical=True"")",if contrast is not None :,128
"def decoder(s, *args, **kwargs): <TAB> r = [] <TAB> decoded = bytearray() <TAB> for c in s: <TAB>  <TAB> if c == ord(""&"") and not decoded: <TAB>  <TAB>  <TAB> decoded.append(ord(""&"")) <TAB>  <TAB> elif c == ord(""-"") and decoded: <MASK> r.append(""&"") <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> r.append(modified_unutf7(decoded[1:])) <TAB>  <TAB>  <TAB> decoded = bytearray() <TAB>  <TAB> elif decoded: <TAB>  <TAB>  <TAB> decoded.append(c) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> r.append(chr(c)) <TAB> if decoded: <TAB>  <TAB> r.append(modified_unutf7(decoded[1:])) <TAB> bin_str = """".join(r) <TAB> return (bin_str, len(s))",if len ( decoded ) == 1 :,198
"def deleteChildren(p, cond, dtor=None): <TAB> cull = [child.copy() for child in p.children() if cond(child)] <TAB> if cull: <TAB>  <TAB> cull.reverse() <TAB>  <TAB> for child in cull: <MASK> dtor(child) <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> child.doDelete() <TAB>  <TAB> return len(cull) <TAB> return 0",if dtor :,106
"def _ignore_package(self, pkg_name: str) -> None: <TAB> self.manually_excluded_packages_names.append(pkg_name) <TAB> for name in ( <TAB>  <TAB> pkg_name, <TAB>  <TAB> strip_repo_name(pkg_name), <TAB> ): <TAB>  <TAB> if name in self.install_package_names: <TAB>  <TAB>  <TAB> self.install_package_names.remove(name) <MASK> self.not_found_repo_pkgs_names.remove(name)",if name in self . not_found_repo_pkgs_names :,134
"def valid_collection_name_or_error(name: str): <TAB> try: <TAB>  <TAB> if not name: <TAB>  <TAB>  <TAB> raise Exception(""Collection name cannot be blank."") <TAB>  <TAB> parsed = URL.parse(name) <MASK> raise Exception( <TAB>  <TAB>  <TAB>  <TAB> ""Collection names cannot start with '@' symbol. This is reserved for channels claims."" <TAB>  <TAB>  <TAB> ) <TAB>  <TAB> if not parsed.has_stream or parsed.stream.name != name: <TAB>  <TAB>  <TAB> raise Exception(""Collection name has invalid characters."") <TAB> except (TypeError, ValueError): <TAB>  <TAB> raise Exception(""Invalid collection name."")",if parsed . has_channel :,144
"def get(self): <TAB> if self._queue: <TAB>  <TAB> while True: <TAB>  <TAB>  <TAB> if len(self._queue) == 1: <TAB>  <TAB>  <TAB>  <TAB> return self._queue[0] <TAB>  <TAB>  <TAB> index = random.randint(0, len(self._queue) - 1) <TAB>  <TAB>  <TAB> addr = self._queue[index] <MASK> self._queue[index] = self._queue[len(self._queue) - 1] <TAB>  <TAB>  <TAB>  <TAB> del self._queue[len(self._queue) - 1] <TAB>  <TAB>  <TAB>  <TAB> del self._addr_map[addr] <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> break <TAB>  <TAB> return addr <TAB> else: <TAB>  <TAB> return None",if self . _addr_map [ addr ] . is_timeout ( ) :,179
"def tidy(): <TAB> new_dict = {} <TAB> for phrases, pinyins in env[""phrases_dict""].items(): <TAB>  <TAB> pinyins_via_pinyin_dict = get_pinyins_via_pinyin_dict(phrases) <MASK> new_dict[phrases] = pinyins <TAB> return new_dict",if pinyins != pinyins_via_pinyin_dict :,103
"def search(priority=None, target=None, first=False): <TAB> if priority is None: <TAB>  <TAB> priority = DEFAULT_PRIORITY <TAB> available = NAME_TO_RENDERER <TAB> unknown = [i for i in priority if i not in available] <TAB> if unknown: <TAB>  <TAB> raise ValueError(""Unknown renderers provided in priority list: %s"" % unknown) <TAB> found = [] <TAB> for name in priority: <TAB>  <TAB> render_mod = available[name] <TAB>  <TAB> if render_mod.available(target): <TAB>  <TAB>  <TAB> cur = (name, render_mod.Renderer) <MASK> return cur <TAB>  <TAB>  <TAB> found.append(cur) <TAB> return found",if first :,164
"def output_mintime(self): <TAB> """"""Return oldest output file."""""" <TAB> try: <TAB>  <TAB> mintime = min( <TAB>  <TAB>  <TAB> f.mtime.local_or_remote() for f in self.expanded_output if f.exists <TAB>  <TAB> ) <TAB> except ValueError: <TAB>  <TAB> # no existing output <TAB>  <TAB> mintime = None <TAB> if self.benchmark and self.benchmark.exists: <TAB>  <TAB> mintime_benchmark = self.benchmark.mtime.local_or_remote() <MASK> return min(mintime, mintime_benchmark) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> return mintime_benchmark <TAB> return mintime",if mintime is not None :,164
"def get_scaffolding_and_config_name(named_config, scaffolding): <TAB> if os.path.exists(named_config): <TAB>  <TAB> path, cfg_name = """", named_config <TAB> else: <TAB>  <TAB> path, _, cfg_name = named_config.rpartition(""."") <MASK> raise KeyError( <TAB>  <TAB>  <TAB>  <TAB> 'Ingredient for named config ""{}"" not found'.format(named_config) <TAB>  <TAB>  <TAB> ) <TAB> scaff = scaffolding[path] <TAB> return scaff, cfg_name",if path not in scaffolding :,135
"def get_parents(obj, objs): <TAB> res = [] <TAB> for address in obj.parents: <MASK> parent = objs[address] <TAB>  <TAB>  <TAB> url = u""#%d"" % address <TAB>  <TAB>  <TAB> if parent.type_str != obj.type_str: <TAB>  <TAB>  <TAB>  <TAB> url = parent.type_str + u"".html"" + url <TAB>  <TAB>  <TAB> entry = u'<a href=""%s"">%d</a>' % (url, address) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> entry = u""%d"" % address <TAB>  <TAB> res.append(entry) <TAB> return res",if address in objs :,144
"def endog_names(self): <TAB> """"""Names of endogenous variables"""""" <TAB> if self._endog_names is not None: <TAB>  <TAB> return self._endog_names <TAB> else: <MASK> return self.data.ynames <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> d = 0 <TAB>  <TAB>  <TAB> n = self.corr.shape[0] - 1 <TAB>  <TAB>  <TAB> while n > 0: <TAB>  <TAB>  <TAB>  <TAB> d += 1 <TAB>  <TAB>  <TAB>  <TAB> n //= 10 <TAB>  <TAB>  <TAB> return [(""var%0"" + str(d) + ""d"") % i for i in range(self.corr.shape[0])]",if self . endog is not None :,151
"def createSensorCode(sensor, eCodes, idx): <TAB> """"""Creates event codes for trial list based on sensors requested."""""" <TAB> idx += 1 <TAB> key = ""event"" + str(idx)  # Get dict key <TAB> eCodes[key] = ""0"" * 12 <TAB> if type(sensor) is str: <TAB>  <TAB> sensor = [ <TAB>  <TAB>  <TAB> sensor, <TAB>  <TAB> ] <TAB> if sensor is not None: <MASK> for sensors in sensor: <TAB>  <TAB>  <TAB>  <TAB> eCodes[key] = ( <TAB>  <TAB>  <TAB>  <TAB>  <TAB> eCodes[key][: sensorDict[sensors]] <TAB>  <TAB>  <TAB>  <TAB>  <TAB> + ""1"" <TAB>  <TAB>  <TAB>  <TAB>  <TAB> + eCodes[key][sensorDict[sensors] + 1 :] <TAB>  <TAB>  <TAB>  <TAB> ) <TAB> return eCodes",if type ( sensor ) in allowedListTypes :,198
"def _extract_filters(self): <TAB> filters = super()._extract_filters() <TAB> filters_str_id = [] <TAB> for filt in filters: <TAB>  <TAB> if filt.field in (""record_id"", ""collection_id"", ""bucket_id""): <MASK> filt = Filter(filt.field, str(filt.value), filt.operator) <TAB>  <TAB> filters_str_id.append(filt) <TAB> return filters_str_id","if isinstance ( filt . value , int ) :",115
"def _get_transformations(self, current_text, indices_to_modify): <TAB> transformed_texts = [] <TAB> for idx in indices_to_modify: <TAB>  <TAB> synonyms = [] <TAB>  <TAB> # try to find a word with synonyms, and deal with edge case where there aren't any <TAB>  <TAB> for attempt in range(7): <TAB>  <TAB>  <TAB> synonyms = self._get_synonyms(random.choice(current_text.words)) <MASK> break <TAB>  <TAB>  <TAB> elif attempt == 6: <TAB>  <TAB>  <TAB>  <TAB> return [current_text] <TAB>  <TAB> random_synonym = random.choice(synonyms) <TAB>  <TAB> transformed_texts.append( <TAB>  <TAB>  <TAB> current_text.insert_text_after_word_index(idx, random_synonym) <TAB>  <TAB> ) <TAB> return transformed_texts",if synonyms :,191
"def unpack(self, generator): <TAB> for index, func_args in enumerate(generator): <TAB>  <TAB> try: <TAB>  <TAB>  <TAB> func, args = func_args <MASK> args = (args,) <TAB>  <TAB>  <TAB> yield index, (func, args) <TAB>  <TAB> except ValueError: <TAB>  <TAB>  <TAB> func, args = func_args[0], func_args[1:] <TAB>  <TAB>  <TAB> yield index, (func, args)","if not isinstance ( args , tuple ) :",109
"def start(*args, **kwargs): <TAB> try: <TAB>  <TAB> ret = func(*args, **kwargs) <TAB> except TypeError as e: <TAB>  <TAB> logger.error( <TAB>  <TAB>  <TAB> ""Function %r at %s:%d got error %r"", <TAB>  <TAB>  <TAB> func.func_name, <TAB>  <TAB>  <TAB> func.__module__, <TAB>  <TAB>  <TAB> func.__code__.co_firstlineno, <TAB>  <TAB>  <TAB> e, <TAB>  <TAB> ) <TAB>  <TAB> raise <TAB> try: <TAB>  <TAB> next(ret) <TAB> except StopIteration: <TAB>  <TAB> return None <TAB> except Exception as e: <MASK> logger.error(""Exception in coroutine"") <TAB>  <TAB>  <TAB> logger.exception(e) <TAB>  <TAB>  <TAB> try: <TAB>  <TAB>  <TAB>  <TAB> e.logged = True <TAB>  <TAB>  <TAB> except: <TAB>  <TAB>  <TAB>  <TAB> pass <TAB>  <TAB> raise <TAB> return ret","if not hasattr ( e , ""logged"" ) :",199
"def _extract_from_PYG(self, item, pos_idx): <TAB> num_samples = item.batch.shape[0] <TAB> batch_mask = item.batch == pos_idx <TAB> out_data = {} <TAB> for k in item.keys: <MASK> if item[k].shape[0] == num_samples: <TAB>  <TAB>  <TAB>  <TAB> out_data[k] = item[k][batch_mask] <TAB> return out_data",if torch . is_tensor ( item [ k ] ) and k in self . _saved_keys . keys ( ) :,130
def dismiss_staging_site_warning_if_present(self): <TAB> if self.is_element_present(*self._staging_site_warning_close_button_locator): <MASK> self.selenium.find_element( <TAB>  <TAB>  <TAB>  <TAB> *self._staging_site_warning_close_button_locator <TAB>  <TAB>  <TAB> ).click(),if self . is_element_visible ( * self . _staging_site_warning_close_button_locator ) :,110
"def testExecuteCudaWorker(self): <TAB> dev_id = os.environ.get(""CUDA_VISIBLE_DEVICES"", ""0"").split("","", 1)[0] <TAB> with self._start_worker_process(cuda=True, cuda_device=dev_id) as ( <TAB>  <TAB> pool, <TAB>  <TAB> worker_endpoint, <TAB> ): <TAB>  <TAB> test_ref = pool.create_actor(WorkerProcessTestActor) <TAB>  <TAB> test_ref.run_test(worker_endpoint, calc_device=""cuda"", _tell=True) <TAB>  <TAB> check_time = time.time() <TAB>  <TAB> while not test_ref.get_reply(): <TAB>  <TAB>  <TAB> gevent.sleep(0.1) <MASK> raise TimeoutError(""Check reply timeout"")",if time . time ( ) - check_time > 2000 :,182
def main_sequence(self): <TAB> try: <TAB>  <TAB> self.get_all_packages_info() <TAB>  <TAB> if self.news: <TAB>  <TAB>  <TAB> self.news.print_news() <TAB>  <TAB> if not self.args.noconfirm: <TAB>  <TAB>  <TAB> self.install_prompt() <TAB>  <TAB> self.get_package_builds() <TAB>  <TAB> # @TODO: ask to install optdepends (?) <MASK> self.ask_about_package_conflicts() <TAB>  <TAB> self.review_build_files() <TAB>  <TAB> self.install_packages() <TAB> except self.ExitMainSequence: <TAB>  <TAB> pass,if not self . args . downloadonly :,152
"def _check_ok(self, onempty): <TAB> self.outp.flush() <TAB> rl = """" <TAB> for rl in linereader(self): <TAB>  <TAB> # log('%d got line: %r\n' % (os.getpid(), rl)) <TAB>  <TAB> if not rl:  # empty line <TAB>  <TAB>  <TAB> continue <MASK> return None <TAB>  <TAB> elif rl.startswith(""error ""): <TAB>  <TAB>  <TAB> # log('client: error: %s\n' % rl[6:]) <TAB>  <TAB>  <TAB> return NotOk(rl[6:]) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> onempty(rl) <TAB> raise Exception(""server exited unexpectedly; see errors above"")","elif rl == ""ok"" :",166
"def populate_obj(self, obj, name): <TAB> values = getattr(obj, name, None) <TAB> try: <TAB>  <TAB> ivalues = iter(values) <TAB> except TypeError: <TAB>  <TAB> ivalues = iter([]) <TAB> candidates = itertools.chain(ivalues, itertools.repeat(None)) <TAB> _fake = type(str(""_fake""), (object,), {}) <TAB> output = [] <TAB> for field, data in zip(self.entries, candidates): <MASK> fake_obj = _fake() <TAB>  <TAB>  <TAB> fake_obj.data = data <TAB>  <TAB>  <TAB> field.populate_obj(fake_obj, ""data"") <TAB>  <TAB>  <TAB> output.append(fake_obj.data) <TAB> setattr(obj, name, output)",if not self . should_delete ( field ) :,179
"def history_subs(self, tokens, parsed): <TAB> history_found = False <TAB> for t in tokens: <MASK> t.tok = self.stash.runtime.history.search(t.tok) <TAB>  <TAB>  <TAB> history_found = True <TAB> if history_found: <TAB>  <TAB> # The line is set to the string with history replaced <TAB>  <TAB> # Re-parse the line <TAB>  <TAB> line = "" "".join(t.tok for t in tokens) <TAB>  <TAB> if self.debug: <TAB>  <TAB>  <TAB> self.logger.debug(""history found: %s"" % line) <TAB>  <TAB> tokens, parsed = self.stash.runtime.parser.parse(line) <TAB> return tokens, parsed","if t . ttype == ShToken . _CMD and t . tok . startswith ( ""!"" ) :",177
"def last_zero_init(m): <TAB> if isinstance(m, nn.Sequential): <TAB>  <TAB> nn.init.constant_(m[-1].weight, val=0) <MASK> nn.init.constant_(m[-1].bias, 0) <TAB> else: <TAB>  <TAB> nn.init.constant_(m.weight, val=0) <TAB>  <TAB> if hasattr(m, ""bias"") and m.bias is not None: <TAB>  <TAB>  <TAB> nn.init.constant_(m.bias, 0)","if hasattr ( m [ - 1 ] , ""bias"" ) and m [ - 1 ] . bias is not None :",137
"def download_content(repository): <TAB> """"""Download the content of a directory."""""" <TAB> queue = QueueManager() <TAB> contents = gather_files_to_download(repository) <TAB> repository.logger.debug(repository.data.filename) <TAB> if not contents: <TAB>  <TAB> raise HacsException(""No content to download"") <TAB> for content in contents: <TAB>  <TAB> if repository.data.content_in_root and repository.data.filename: <MASK> continue <TAB>  <TAB> queue.add(dowload_repository_content(repository, content)) <TAB> await queue.execute() <TAB> return repository.validate",if content . name != repository . data . filename :,153
"def get_branches(): <TAB> proc = subprocess.Popen( <TAB>  <TAB> [""git"", ""branch"", ""-a"", ""--no-color"", ""--no-column""], stdout=subprocess.PIPE <TAB> ) <TAB> for line in proc.stdout.readlines(): <TAB>  <TAB> line = line.decode(""utf-8"") <TAB>  <TAB> if ""->"" in line:  # Remote HEAD like b'  remotes/origin/HEAD -> origin/master' <TAB>  <TAB>  <TAB> continue <MASK> line = line.split("" "")[1] <TAB>  <TAB> if line.strip().startswith(""remotes/""): <TAB>  <TAB>  <TAB> line = ""/"".join(line.split(""/"")[2:]) <TAB>  <TAB> yield line.strip()","if line . startswith ( ""*"" ) :",157
"def _cleanup(**kwargs): <TAB> if not kwargs: <TAB>  <TAB> return _cleanup_old(**kwargs) <TAB> if ""kubeconfig"" in kwargs: <TAB>  <TAB> kubeconfig = kwargs.get(""kubeconfig"") <MASK> try: <TAB>  <TAB>  <TAB>  <TAB> os.unlink(kubeconfig) <TAB>  <TAB>  <TAB> except (IOError, OSError) as err: <TAB>  <TAB>  <TAB>  <TAB> if err.errno != errno.ENOENT: <TAB>  <TAB>  <TAB>  <TAB>  <TAB> log.exception(err)","if kubeconfig and os . path . basename ( kubeconfig ) . startswith ( ""salt-kubeconfig-"" ) :",121
"def get_content(self, wait_until_cleared_proplist=None): <TAB> with self.get_lock(wait_until_cleared_proplist): <MASK> filename = self.cache.get_cache_filename(self.path) <TAB>  <TAB>  <TAB> return open(filename, mode=""rb+"") <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> return self.content","if self . store == ""disk"" :",94
def findAllPotentiallyDirtyNodes(self): <TAB> v = self <TAB> c = v.context <TAB> # Set the starting nodes. <TAB> nodes = [] <TAB> newNodes = [v] <TAB> # Add nodes until no more are added. <TAB> while newNodes: <TAB>  <TAB> addedNodes = [] <TAB>  <TAB> nodes.extend(newNodes) <TAB>  <TAB> for v in newNodes: <TAB>  <TAB>  <TAB> for v2 in v.parents: <MASK> addedNodes.append(v2) <TAB>  <TAB> newNodes = addedNodes[:] <TAB> # Remove the hidden VNode. <TAB> if c.hiddenRootNode in nodes: <TAB>  <TAB> nodes.remove(c.hiddenRootNode) <TAB> return nodes,if v2 not in nodes and v2 not in addedNodes :,178
